iter	Passed	Remaining
0	226	339171
1	419	314293
2	664	331709
3	881	329820
4	1060	317083
5	1229	306188
6	1392	297090
7	1576	294087
8	1818	301311
9	2030	302580
10	2249	304465
11	2461	305262
12	2599	297361
13	2791	296270
14	2995	296589
15	3186	295523
16	3398	296511
17	3656	301032
18	3854	300432
19	4084	302231
20	4267	300551
21	4466	300041
22	4681	300662
23	4907	301834
24	5058	298442
25	5253	297847
26	5435	296514
27	5642	296618
28	5835	295984
29	6013	294682
30	6326	299780
31	6634	304344
32	6868	305344
33	7146	308119
34	7387	309238
35	7700	313143
36	7888	311902
37	8061	310153
38	8293	310681
39	8562	312516
40	8804	313309
41	9080	315219
42	9320	315796
43	9594	317495
44	9822	317601
45	10066	318174
46	10317	318964
47	10512	317995
48	10751	318389
49	10996	318906
50	11241	319383
51	11351	316102
52	11555	315480
53	11778	315392
54	12012	315603
55	12269	316371
56	12566	318123
57	12771	317520
58	12948	316259
59	13145	315493
60	13401	316151
61	13592	315260
62	13822	315286
63	14044	315118
64	14234	314263
65	14471	314426
66	14688	314159
67	14872	313197
68	15073	312614
69	15256	311670
70	15388	309721
71	15607	309540
72	15798	308834
73	15948	307340
74	16111	306113
75	16332	306027
76	16512	305159
77	16707	304599
78	16866	303392
79	17028	302264
80	17203	301379
81	17438	301566
82	17636	301089
83	17828	300531
84	18007	299763
85	18226	299675
86	18424	299244
87	18651	299273
88	18820	298384
89	19032	298181
90	19222	297634
91	19395	296828
92	19589	296365
93	19789	295995
94	20000	295795
95	20203	295481
96	20413	295259
97	20653	295475
98	20896	295721
99	21090	295265
100	21266	294566
101	21442	293892
102	21637	293468
103	21832	293056
104	22047	292916
105	22275	292940
106	22498	292905
107	22716	292792
108	22889	292109
109	23084	291698
110	23305	291630
111	23520	291490
112	23740	291397
113	23926	290890
114	24144	290786
115	24360	290647
116	24540	290076
117	24768	290088
118	24959	289657
119	25131	289012
120	25378	289225
121	25623	289421
122	25868	289595
123	26117	289819
124	26347	289818
125	26594	290004
126	26802	289757
127	27016	289578
128	27305	290195
129	27509	289906
130	27749	289988
131	27981	289985
132	28208	289936
133	28427	289791
134	28656	289749
135	28895	289805
136	29101	289526
137	29308	289264
138	29501	288863
139	29661	288136
140	29879	287982
141	30072	287592
142	30251	287073
143	30435	286598
144	30647	286392
145	30917	286725
146	31144	286653
147	31405	286894
148	31642	286908
149	31896	287069
150	32179	287486
151	32431	287615
152	32634	287311
153	32864	287243
154	33109	287304
155	33298	286875
156	33504	286603
157	33695	286198
158	33890	285829
159	34103	285615
160	34322	285451
161	34601	285783
162	34824	285646
163	35046	285497
164	35281	285458
165	35487	285184
166	35718	285106
167	35894	284592
168	36110	284396
169	36299	283990
170	36512	283771
171	36767	283878
172	36994	283768
173	37249	283868
174	37458	283617
175	37717	283735
176	37950	283663
177	38131	283201
178	38360	283099
179	38577	282904
180	38759	282453
181	39015	282538
182	39183	281991
183	39393	281747
184	39592	281426
185	39756	280862
186	39977	280694
187	40178	280392
188	40383	280123
189	40591	279866
190	40791	279561
191	40993	279269
192	41203	279029
193	41445	279007
194	41650	278739
195	41849	278425
196	42063	278215
197	42268	277949
198	42482	277739
